ISO 639-3	Code	Language name(s)	Script	Locale	Ethnologue	Variety	Glottocode	Glottolog
ace	ace	Acehnese	Latin	Indonesia	https://www.ethnologue.com/language/ace		achi1257	https://glottolog.org/resource/languoid/id/achi1257
afr	afr	Afrikaans	Latin	South Africa	https://www.ethnologue.com/language/afr		afri1274	https://glottolog.org/resource/languoid/id/afri1274
aka	aka_akuapem	Akan	Latin	Ghana	https://www.ethnologue.com/language/aka	Akuapem	akan1250	https://glottolog.org/resource/languoid/id/akan1250
aka	aka_asante	Akan	Latin	Ghana	https://www.ethnologue.com/language/aka	Asante	akan1250	https://glottolog.org/resource/languoid/id/akan1250
amh	amh	Amharic	Ethiopic	Ethiopia	https://www.ethnologue.com/language/amh		amha1245	https://glottolog.org/resource/languoid/id/amha1245
arb	arb	Arabic (MSA)	Arabic	World	https://www.ethnologue.com/language/arb	Modern Standard	stan1318	https://glottolog.org/resource/languoid/id/stan1318
asm	asm	Assamese	Bengali	India	https://www.ethnologue.com/language/asm		assa1263	https://glottolog.org/resource/languoid/id/assa1263
awa	awa	Awadhi	Devanagari	India	https://www.ethnologue.com/language/awa		awad1243	https://glottolog.org/resource/languoid/id/awad1243
aze	aze_az	Azerbaijani	Latin	Azerbaijan	https://www.ethnologue.com/language/aze			
aze	aze_ir	Azerbaijani	Arabic	Iran, Islamic Republic of	https://www.ethnologue.com/language/aze			
bam	bam	Bambara	Latin	Mali	https://www.ethnologue.com/language/bam		bamb1269	https://glottolog.org/resource/languoid/id/bamb1269
ban	ban	Balinese	Latin	Indonesia	https://www.ethnologue.com/language/ban		bali1278	https://glottolog.org/resource/languoid/id/bali1278
bar	bar	Bavarian	Latin	Austria	https://www.ethnologue.com/language/bar		bava1246	https://glottolog.org/resource/languoid/id/bava1246
bbc	bbc	Batak Toba	Latin	Indonesia	https://www.ethnologue.com/language/bbc		bata1289	https://glottolog.org/resource/languoid/id/bata1289
bel	bel	Belarusian, Belarusan	Cyrillic	Belarus	https://www.ethnologue.com/language/bel		bela1254	https://glottolog.org/resource/languoid/id/bela1254
ben	ben	Bengali	Bengali	Bangladesh	https://www.ethnologue.com/language/ben		beng1280	https://glottolog.org/resource/languoid/id/beng1280
bgc	bgc	Haryanvi	Devanagari	India	https://www.ethnologue.com/language/bgc		hary1238	https://glottolog.org/resource/languoid/id/hary1238
bgn	bgn	Balochi, Baluchi	Arabic	Pakistan	https://www.ethnologue.com/language/bgn		west2368	https://glottolog.org/resource/languoid/id/west2368
bjn	bjn	Banjar	Latin	Indonesia	https://www.ethnologue.com/language/bjn		banj1239	https://glottolog.org/resource/languoid/id/banj1239
bmw	bmw	Norwegian Bokmål	Latin	Norway	https://www.ethnologue.com/language/bmw		bomw1238	https://glottolog.org/resource/languoid/id/bomw1238
bod	bod	Tibetan	Tibetan	China	https://www.ethnologue.com/language/bod		tibe1272	https://glottolog.org/resource/languoid/id/tibe1272
boy	boy	Bodo	Devanagari	India	https://www.ethnologue.com/language/boy		bodo1272	https://glottolog.org/resource/languoid/id/bodo1272
bug	bug	Buginese	Latin	Indonesia	https://www.ethnologue.com/language/bug		bugi1244	https://glottolog.org/resource/languoid/id/bugi1244
bul	bul	Bulgarian	Cyrillic	Bulgaria	https://www.ethnologue.com/language/bul		bulg1262	https://glottolog.org/resource/languoid/id/bulg1262
cat	cat_es	Catalan	Latin	Spain	https://www.ethnologue.com/language/cat		stan1289	https://glottolog.org/resource/languoid/id/stan1289
cat	cat_valencia	Catalan	Latin	Valencia	https://www.ethnologue.com/language/cat		stan1289	https://glottolog.org/resource/languoid/id/stan1289
ceb	ceb_austronesian	Cebuano	Latin	Philippines	https://www.ethnologue.com/language/ceb	Austronesian	cebu1242	https://glottolog.org/resource/languoid/id/cebu1242
ceb	ceb_spanish	Cebuano	Latin	Philippines	https://www.ethnologue.com/language/ceb	Spanish	cebu1242	https://glottolog.org/resource/languoid/id/cebu1242
ces	ces	Czech	Latin	Czechia	https://www.ethnologue.com/language/ces		czec1258	https://glottolog.org/resource/languoid/id/czec1258
ckb	ckb_arabic	Sorani, Kurdish	Arabic	Iraq	https://www.ethnologue.com/language/ckb		cent1972	https://glottolog.org/resource/languoid/id/cent1972
ckb	ckb_latin	Sorani, Kurdish	Latin	Iraq	https://www.ethnologue.com/language/ckb		cent1972	https://glottolog.org/resource/languoid/id/cent1972
cmn	cmn_simplified	Chinese, Mandarin, Mandarin Chinese	Han (Simplified variant)	China	https://www.ethnologue.com/language/cmn		mand1415	https://glottolog.org/resource/languoid/id/mand1415
cmn	cmn_traditional	Taiwanese Mandarin	Han (Traditional variant)	Taiwan	https://www.ethnologue.com/language/cmn		mand1415	https://glottolog.org/resource/languoid/id/mand1415
cos	cos	Corsican	Latin	France	https://www.ethnologue.com/language/cos		cors1241	https://glottolog.org/resource/languoid/id/cors1241
ctg	ctg	Chittagonian	Bengali	Bangladesh	https://www.ethnologue.com/language/ctg		chit1275	https://glottolog.org/resource/languoid/id/chit1275
cym	cym	Welsh	Latin	United Kingdom	https://www.ethnologue.com/language/cym		wels1247	https://glottolog.org/resource/languoid/id/wels1247
dan	dan	Danish	Latin	Denmark	https://www.ethnologue.com/language/dan		dani1285	https://glottolog.org/resource/languoid/id/dani1285
dcc	dcc	Deccan	Arabic	India	https://www.ethnologue.com/language/dcc		decc1239	https://glottolog.org/resource/languoid/id/decc1239
deu	deu	German	Latin	Germany	https://www.ethnologue.com/language/deu		stan1295	https://glottolog.org/resource/languoid/id/stan1295
dgo	dgo	Dogri	Devanagari	India	https://www.ethnologue.com/language/dgo		dogr1250	https://glottolog.org/resource/languoid/id/dogr1250
dzo	dzo	Dzongkha	Tibetan	Bhutan	https://www.ethnologue.com/language/dzo		dzon1239	https://glottolog.org/resource/languoid/id/dzon1239
ell	ell	Greek	Greek	Greece	https://www.ethnologue.com/language/ell		mode1248	https://glottolog.org/resource/languoid/id/mode1248
eng	eng_in	English	Latin	India	https://www.ethnologue.com/language/eng		stan1293	https://glottolog.org/resource/languoid/id/stan1293
eng	eng_us	English	Latin	United States of America	https://www.ethnologue.com/language/eng		stan1293	https://glottolog.org/resource/languoid/id/stan1293
epo	epo	Esperanto	Latin	World	https://www.ethnologue.com/language/epo		espe1235	https://glottolog.org/resource/languoid/id/espe1235
est	est	Estonian	Latin	Estonia	https://www.ethnologue.com/language/est			
eus	eus	Basque	Latin	Spain	https://www.ethnologue.com/language/eus		basq1248	https://glottolog.org/resource/languoid/id/basq1248
fil	fil	Tagalog	Latin	Philippines	https://www.ethnologue.com/language/tgl		fili1244	https://glottolog.org/resource/languoid/id/fili1244
fin	fin	Finnish	Latin	Finland	https://www.ethnologue.com/language/fin		finn1318	https://glottolog.org/resource/languoid/id/finn1318
fra	fra_ch	French	Latin	Switzerland	https://www.ethnologue.com/language/fra		stan1290	https://glottolog.org/resource/languoid/id/stan1290
fra	fra_fr	French	Latin	France	https://www.ethnologue.com/language/fra		stan1290	https://glottolog.org/resource/languoid/id/stan1290
fry	fry	Western Frisian	Latin	Netherlands	https://www.ethnologue.com/language/fry		west2354	https://glottolog.org/resource/languoid/id/west2354
ful	ful	Fulah	Latin	West Africa	https://www.ethnologue.com/language/ful		fula1264	https://glottolog.org/resource/languoid/id/fula1264
gla	gla	Scottish Gaelic	Latin	United Kingdom	https://www.ethnologue.com/language/gla		scot1245	https://glottolog.org/resource/languoid/id/scot1245
gle	gle	Irish	Latin	Ireland	https://www.ethnologue.com/language/gle		iris1253	https://glottolog.org/resource/languoid/id/iris1253
glg	glg	Galician	Latin	Spain	https://www.ethnologue.com/language/glg		gali1258	https://glottolog.org/resource/languoid/id/gali1258
grn	grn	Guarani, Guaraní	Latin	Paraguay	https://www.ethnologue.com/language/grn			
guj	guj	Gujarati	Gujarati	India	https://www.ethnologue.com/language/guj		guja1252	https://glottolog.org/resource/languoid/id/guja1252
hat	hat	Haitian	Latin	Haiti	https://www.ethnologue.com/language/hat		hait1244	https://glottolog.org/resource/languoid/id/hait1244
hau	hau	Hausa	Latin	Nigeria	https://www.ethnologue.com/language/hau		haus1257	https://glottolog.org/resource/languoid/id/haus1257
haw	haw	Hawaiian	Latin	United States of America	https://www.ethnologue.com/language/haw		hawa1245	https://glottolog.org/resource/languoid/id/hawa1245
heb	heb_no_diacritics	Hebrew	Hebrew	Israel	https://www.ethnologue.com/language/heb	without diacritics	hebr1245	https://glottolog.org/resource/languoid/id/hebr1245
heb	heb_with_diacritics	Hebrew	Hebrew	Israel	https://www.ethnologue.com/language/heb	with diacritics	hebr1245	https://glottolog.org/resource/languoid/id/hebr1245
hil	hil	Hiligaynon	Latin	Philippines	https://www.ethnologue.com/language/hil		hili1240	https://glottolog.org/resource/languoid/id/hili1240
hin	hin	Hindi	Devanagari	India	https://www.ethnologue.com/language/hin		hind1269	https://glottolog.org/resource/languoid/id/hind1269
hmn	hmn	Hmong	Latin	China	https://www.ethnologue.com/language/hmn			
hne	hne	Chhattisgarhi	Devanagari	India	https://www.ethnologue.com/language/hne		chha1249	https://glottolog.org/resource/languoid/id/chha1249
hoj	hoj	Harauti	Devanagari	India	https://www.ethnologue.com/language/hoj		hado1235	https://glottolog.org/resource/languoid/id/hado1235
hrv	hrv	Croatian	Latin	Croatia	https://www.ethnologue.com/language/hrv		croa1245	https://glottolog.org/resource/languoid/id/croa1245
hun	hun	Hungarian	Latin	Hungary	https://www.ethnologue.com/language/hun		hung1274	https://glottolog.org/resource/languoid/id/hung1274
hye	hye	Armenian	Armenian	Armenia	https://www.ethnologue.com/language/hye		nucl1235	https://glottolog.org/resource/languoid/id/nucl1235
ibo	ibo	Igbo	Latin	Nigeria	https://www.ethnologue.com/language/ibo		nucl1417	https://glottolog.org/resource/languoid/id/nucl1417
ilo	ilo	Ilocano, Iloko	Latin	Philippines	https://www.ethnologue.com/language/ilo		ilok1237	https://glottolog.org/resource/languoid/id/ilok1237
ind	ind	Indonesian	Latin	Indonesia	https://www.ethnologue.com/language/ind		indo1316	https://glottolog.org/resource/languoid/id/indo1316
isl	isl	Icelandic	Latin	Iceland	https://www.ethnologue.com/language/isl		icel1247	https://glottolog.org/resource/languoid/id/icel1247
ita	ita	Italian	Latin	Italy	https://www.ethnologue.com/language/ita		ital1282	https://glottolog.org/resource/languoid/id/ital1282
jav	jav	Javanese	Latin	Indonesia	https://www.ethnologue.com/language/jav		java1254	https://glottolog.org/resource/languoid/id/java1254
jpn	jpn	Japanese	Japanese	Japan	https://www.ethnologue.com/language/jpn		nucl1643	https://glottolog.org/resource/languoid/id/nucl1643
kan	kan	Kannada	Kannada	India	https://www.ethnologue.com/language/kan		nucl1305	https://glottolog.org/resource/languoid/id/nucl1305
kas	kas	Kashmiri	Devanagari	India	https://www.ethnologue.com/language/kas		kash1277	https://glottolog.org/resource/languoid/id/kash1277
kat	kat	Georgian	Georgian	Georgia	https://www.ethnologue.com/language/kat		nucl1302	https://glottolog.org/resource/languoid/id/nucl1302
kaz	kaz	Kazakh	Cyrillic	Kazakhstan	https://www.ethnologue.com/language/kaz		kaza1248	https://glottolog.org/resource/languoid/id/kaza1248
khm	khm	Khmer, Central Khmer	Khmer	Cambodia	https://www.ethnologue.com/language/khm		cent1989	https://glottolog.org/resource/languoid/id/cent1989
kin	kin	Kinyarwanda	Latin	Rwanda	https://www.ethnologue.com/language/kin		kiny1244	https://glottolog.org/resource/languoid/id/kiny1244
kir	kir	Kyrgyz, Kirghiz	Cyrillic	Kyrgyzstan	https://www.ethnologue.com/language/kir		kirg1245	https://glottolog.org/resource/languoid/id/kirg1245
kok	kok	Konkani	Devanagari	India	https://www.ethnologue.com/language/kok		konk1270	https://glottolog.org/resource/languoid/id/konk1270
kor	kor	Korean	Hangul	Korea, Republic of	https://www.ethnologue.com/language/kor	Sino-Korean	kore1280	https://glottolog.org/resource/languoid/id/kore1280
lao	lao	Lao	Lao	Lao People's Democratic Republic	https://www.ethnologue.com/language/lao		laoo1244	https://glottolog.org/resource/languoid/id/laoo1244
lat	lat	Latin	Latin	World	https://www.ethnologue.com/language/lat		lati1261	https://glottolog.org/resource/languoid/id/lati1261
lav	lav	Latvian	Latin	Latvia	https://www.ethnologue.com/language/lav		latv1249	https://glottolog.org/resource/languoid/id/latv1249
lim	lim	Limburgish, Limburgan	Latin	Netherlands	https://www.ethnologue.com/language/lim		limb1263	https://glottolog.org/resource/languoid/id/limb1263
lit	lit	Lithuanian	Latin	Lithuania	https://www.ethnologue.com/language/lit		lith1251	https://glottolog.org/resource/languoid/id/lith1251
